,,Level,Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015),Kreis (2015)
05913,"Dortmund, Stadt",krsfr. Stadt,79.0,82.3,78.6,72.5,68.0,67.4,71.7,28.6,24.2,25.0,24.9,24.4,29.0,24.5,53.9,56.7,53.1,49.5,34.3,39.5,31.3,7.8,7.7,10.3,9.3,12.4,9.6,8.4,5.4,5.2,7.4,7.4,11.7,4.0,11.0,1.3,1.6,1.7,6.4,11.2,7.8,9.6,10.3,101.1,94.9,100.1,108.7,51.3,30.6,50.5,21.3,68.5,4.9,89.5,48.0,3477.2,1594.7,555.1,261.8
05914,"Hagen, Stadt",krsfr. Stadt,77.8,80.6,75.5,74.4,67.0,66.3,70.1,34.1,29.3,31.0,30.0,30.3,34.6,28.2,48.6,52.2,49.6,46.9,32.7,37.3,29.6,6.0,5.5,7.1,5.9,9.1,6.6,5.3,6.7,6.2,8.2,7.5,11.4,4.3,11.9,0.9,1.2,1.2,6.0,10.3,7.1,7.5,12.8,98.6,88.8,99.8,104.8,19.3,17.2,49.3,33.2,17.4,0.3,7.0,3.8,4235.3,1879.3,99.0,51.4
05915,"Hamm, Stadt",krsfr. Stadt,79.7,81.9,77.1,74.9,68.5,68.9,71.7,38.1,31.7,32.7,31.1,33.5,37.9,30.6,47.6,53.1,49.8,47.5,32.5,38.0,31.4,5.2,4.5,6.0,5.6,7.3,5.9,5.2,5.4,5.6,8.5,8.0,12.1,3.9,10.3,0.7,1.1,0.9,5.1,9.5,6.2,7.1,11.1,97.8,89.6,99.6,101.3,91.7,50.2,35.2,14.8,61.6,50.9,0.7,0.7,3347.8,1469.9,100.7,48.6
05916,"Herne, Stadt",krsfr. Stadt,78.2,81.7,76.1,74.4,66.4,67.3,69.5,26.4,21.7,23.7,22.8,22.9,28.3,23.6,60.2,62.9,57.8,54.4,40.7,44.2,34.5,5.3,5.2,6.7,5.7,8.1,6.0,5.3,3.7,3.5,6.2,5.2,9.0,2.8,9.2,1.0,1.6,1.6,7.9,12.8,8.1,7.8,13.9,97.2,88.5,99.2,100.4,67.8,56.8,32.5,4.8,48.1,1.3,0.2,0.2,4284.8,2020.0,24.3,11.0
05954,Ennepe-Ruhr-Kreis,Landkreis,82.4,84.7,79.0,78.8,72.6,73.1,75.9,30.5,26.5,28.0,27.4,27.8,34.1,28.1,51.6,54.4,50.5,46.2,34.4,37.5,29.5,7.1,7.1,9.1,8.2,10.7,8.5,7.7,7.0,6.6,8.9,9.5,12.8,4.6,13.0,0.9,1.2,1.2,5.7,9.2,6.3,7.8,9.8,98.8,94.2,99.7,100.8,35.0,22.0,0.0,0.0,0.0,0.0,2.4,1.0,3008.6,1314.0,85.9,42.6
05958,Hochsauerlandkreis,Landkreis,82.4,84.5,81.3,77.4,71.9,72.9,75.4,50.1,45.0,48.5,46.6,41.9,49.7,41.7,35.5,39.4,34.4,33.6,24.4,28.0,22.8,4.8,4.1,5.2,4.1,6.3,4.8,4.7,6.9,6.7,9.0,9.6,16.3,5.1,14.3,0.5,0.7,0.7,3.6,6.7,4.7,5.4,8.0,95.6,80.2,100.4,99.6,85.7,49.3,0.0,0.0,0.0,0.0,0.0,0.0,3076.6,1241.7,67.8,36.2
05962,Märkischer Kreis,Landkreis,78.5,82.0,77.5,75.1,68.3,69.2,71.4,39.5,34.0,36.5,35.8,34.6,41.4,34.0,42.0,46.1,42.9,39.5,28.4,32.2,26.1,5.8,5.1,6.3,5.5,7.5,5.8,5.0,8.1,7.4,9.7,10.3,15.1,4.8,13.4,0.8,1.2,1.0,5.3,8.6,5.8,6.5,11.3,96.7,82.9,100.1,102.1,74.3,40.1,0.0,0.0,0.0,0.0,0.0,0.0,3490.1,1483.4,62.9,29.9
05966,Olpe,Landkreis,82.2,83.9,81.0,78.6,72.4,73.0,75.9,55.0,51.3,53.0,51.4,46.4,54.5,46.9,32.0,35.7,31.4,29.8,21.1,24.5,20.2,4.5,3.7,5.2,3.8,6.1,4.2,4.0,6.2,5.6,8.0,9.5,16.6,4.9,14.1,0.4,0.6,0.6,3.1,5.7,3.9,4.4,7.7,96.7,85.9,99.7,100.0,70.7,41.1,0.0,0.0,0.0,0.0,0.0,0.0,2699.6,1200.4,35.7,16.3
05970,Siegen-Wittgenstein,Landkreis,81.9,83.6,80.1,77.2,71.1,71.8,75.6,37.8,34.9,38.1,36.6,34.8,41.5,34.0,44.2,46.8,41.8,39.0,28.9,32.0,26.4,5.9,5.2,7.0,5.8,8.6,6.4,5.5,7.7,6.8,8.9,9.5,14.9,4.7,11.9,0.7,1.1,1.0,5.2,8.0,5.8,7.8,10.7,98.1,88.6,99.7,103.5,59.9,37.9,0.0,0.0,0.0,0.0,62.1,37.0,3271.0,1447.5,238.2,117.4
05974,Soest,Landkreis,80.3,83.5,79.7,77.3,70.2,71.5,74.5,44.5,38.5,40.2,39.1,36.6,44.8,36.3,38.3,43.1,38.6,37.5,25.4,30.4,25.0,6.2,5.6,7.2,5.8,8.6,7.0,6.2,7.9,7.8,10.4,10.5,16.9,4.9,13.5,0.6,0.9,1.0,4.4,7.6,5.2,6.8,9.3,97.4,92.9,100.5,94.8,31.5,18.1,0.0,0.0,0.0,0.0,0.1,0.0,3160.7,1497.0,89.9,52.3
05978,Unna,Landkreis,81.6,84.6,80.4,78.3,71.5,72.1,74.5,32.3,27.6,28.8,28.1,27.5,33.2,28.2,52.3,55.9,52.6,49.6,36.5,40.3,32.9,6.5,5.9,7.3,6.5,9.0,7.3,6.3,5.3,5.2,7.8,7.5,12.0,3.8,11.2,0.8,1.2,1.1,5.5,9.5,6.3,6.9,10.3,100.4,90.7,100.5,109.0,59.0,43.0,94.1,23.8,10.2,0.6,0.0,0.0,3120.3,1410.0,325.6,181.9
06411,"Darmstadt, Stadt",krsfr. Stadt,80.6,81.7,78.2,76.8,73.2,72.9,77.9,35.2,30.1,29.9,28.5,26.4,31.1,23.8,36.8,39.4,38.0,35.8,24.0,27.3,20.6,14.8,15.7,20.3,17.4,20.9,17.8,18.4,8.6,8.5,7.6,10.0,13.6,5.1,10.7,1.6,2.0,2.0,5.9,9.8,8.1,13.1,8.4,110.2,152.3,102.4,98.5,35.3,24.4,0.0,0.0,0.0,0.0,868.6,398.7,2944.4,1453.8,4031.4,2422.8
06412,"Frankfurt am Main, Stadt",krsfr. Stadt,79.0,79.7,75.7,74.5,70.8,69.4,74.1,39.9,32.8,33.1,29.3,27.8,33.7,26.4,30.1,35.5,34.4,30.4,21.9,26.6,20.1,14.5,14.2,18.5,16.6,17.2,14.4,14.6,8.8,8.8,8.4,13.4,17.5,7.0,14.1,2.1,2.5,2.5,6.7,10.5,8.5,11.9,8.6,111.5,166.0,101.4,98.1,7.3,3.6,0.0,0.0,0.0,0.0,362.9,153.9,3213.8,1405.9,991.6,460.1
06413,"Offenbach am Main, Stadt",krsfr. Stadt,77.4,77.9,72.7,69.5,64.8,63.8,66.4,39.7,33.5,36.3,33.3,28.6,33.5,27.2,34.9,39.3,37.7,34.3,23.8,27.5,23.8,10.5,9.9,12.4,11.3,14.0,12.5,10.6,7.9,7.6,7.5,10.4,15.2,5.1,9.8,1.6,2.1,2.0,6.5,11.6,9.0,11.7,12.0,105.8,135.4,101.1,94.9,73.8,53.4,0.0,0.0,0.0,0.0,2.0,1.2,4317.1,2052.7,234.6,116.3
06414,"Wiesbaden, Stadt",krsfr. Stadt,79.8,80.5,75.7,74.3,70.0,68.4,73.0,40.1,35.4,36.1,32.1,31.1,38.7,29.0,33.7,38.0,36.8,32.6,23.5,27.8,21.2,11.2,9.9,13.9,13.3,14.1,11.7,11.8,9.3,8.7,8.7,13.3,17.7,6.8,13.3,1.3,1.6,1.4,5.1,8.6,5.9,9.5,11.2,110.7,144.7,103.0,103.4,28.2,21.6,0.0,0.0,0.0,0.0,0.5,0.1,2997.5,1427.4,256.3,116.2
06431,Bergstraße,Landkreis,81.9,83.8,79.2,77.9,72.9,72.4,77.7,42.7,37.3,39.2,36.5,34.5,42.4,33.2,36.8,41.4,39.7,35.3,24.6,27.6,22.3,8.0,6.7,9.2,8.6,10.8,8.7,8.8,7.6,7.3,7.9,11.2,17.3,5.5,11.8,0.7,1.0,0.9,4.3,7.5,4.9,6.6,12.9,100.3,99.6,100.3,100.9,59.9,41.4,0.0,0.0,0.0,0.0,0.0,0.0,2315.9,1021.0,99.1,49.0
06432,Darmstadt-Dieburg,Landkreis,82.5,83.8,80.6,79.1,74.6,74.0,78.6,38.8,32.6,34.5,32.3,31.0,38.2,30.7,38.8,43.4,41.2,36.7,25.9,29.4,23.8,10.0,9.3,12.0,11.4,13.5,10.8,10.6,7.9,8.2,8.2,11.4,16.6,5.1,11.0,0.9,1.3,1.2,4.8,7.7,5.6,8.0,11.1,100.0,89.4,102.1,105.0,17.9,9.9,0.0,0.0,0.0,0.0,0.3,0.2,2379.0,1136.6,54.4,25.0
06433,Groß-Gerau,Landkreis,82.5,83.6,79.3,78.2,72.8,71.1,75.1,37.1,31.2,32.3,30.2,29.9,36.7,30.5,41.0,46.1,43.7,39.2,28.0,30.5,25.4,10.1,8.6,11.4,10.7,12.5,10.6,9.0,6.9,6.6,7.8,10.7,14.9,4.7,9.6,1.0,1.5,1.4,5.1,8.9,6.2,8.2,12.2,105.4,125.9,100.5,100.7,55.5,35.0,0.0,0.0,0.0,0.0,0.2,0.1,2750.4,1385.2,113.1,26.7
06434,Hochtaunuskreis,Landkreis,84.0,85.5,82.4,82.2,78.8,77.4,81.3,45.5,39.8,42.9,38.6,36.7,44.0,34.0,26.7,32.0,30.4,26.0,18.9,21.9,17.5,10.2,8.9,11.9,10.7,12.1,9.9,10.7,13.4,13.0,11.2,17.9,22.3,9.2,17.7,0.9,1.3,1.2,4.1,5.9,4.4,6.3,10.2,109.0,143.8,100.2,103.5,7.1,6.6,0.0,0.0,0.0,0.0,0.2,0.0,1748.6,823.1,55.4,26.3
06435,Main-Kinzig-Kreis,Landkreis,80.4,82.7,78.5,76.6,71.7,70.6,75.5,42.2,35.4,38.6,35.3,32.9,40.5,30.9,36.0,40.9,39.6,34.6,24.3,28.0,23.3,8.6,7.3,9.0,8.7,10.6,8.5,7.9,7.6,7.4,8.1,11.4,17.3,5.2,11.0,1.1,1.5,1.2,5.5,8.7,5.8,7.1,14.7,106.8,137.9,100.7,97.9,31.9,20.1,0.0,0.0,0.0,0.0,0.2,0.0,2630.7,1181.7,120.8,58.2
06436,Main-Taunus-Kreis,Landkreis,84.5,85.9,83.0,81.7,78.0,77.1,80.4,46.6,40.0,42.6,40.0,36.9,43.5,34.5,27.3,32.9,32.0,27.9,19.6,22.9,18.6,9.8,8.5,11.6,10.1,12.1,10.1,10.6,12.0,11.2,10.4,15.6,20.9,7.9,15.7,0.9,1.1,1.0,3.7,5.8,4.4,6.2,10.6,109.3,153.8,100.0,99.5,18.9,8.5,0.0,0.0,0.0,0.0,0.0,0.0,2070.0,958.6,185.7,93.9
06437,Odenwaldkreis,Landkreis,81.0,83.4,78.3,75.8,70.4,70.5,75.3,37.2,32.9,35.8,31.9,30.9,38.1,31.2,44.2,46.9,44.4,38.8,28.2,31.3,26.9,7.7,6.8,8.4,8.4,10.3,8.3,7.3,6.5,6.3,7.2,10.9,15.6,4.8,9.4,0.8,1.3,1.2,5.7,9.4,6.2,7.7,13.1,99.1,97.8,100.0,98.4,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2747.6,1359.4,24.2,15.7
06438,Offenbach,Landkreis,83.0,84.0,80.9,78.9,73.1,73.2,77.4,44.9,39.0,41.5,38.3,34.0,42.3,33.0,31.1,37.1,34.6,30.6,21.5,25.1,20.3,9.9,8.1,11.0,10.3,12.1,9.7,9.8,9.3,9.1,9.1,13.1,19.5,6.4,13.2,0.9,1.2,1.2,4.4,7.4,5.4,7.4,11.9,101.0,106.3,100.2,98.4,16.6,7.5,0.0,0.0,0.0,0.0,2.3,1.5,2428.9,1024.0,67.2,27.0
06439,Rheingau-Taunus-Kreis,Landkreis,82.3,84.3,81.1,79.8,76.3,75.9,79.5,44.3,38.1,39.4,36.8,34.9,44.0,33.4,32.3,37.8,36.6,32.8,22.7,25.5,20.7,9.2,8.2,11.0,10.0,11.7,9.6,9.8,9.8,9.2,9.4,13.4,19.3,6.8,13.8,0.9,1.2,1.0,4.1,6.6,4.5,6.6,11.6,102.6,112.6,100.2,99.8,30.5,15.9,0.0,0.0,0.0,0.0,0.6,0.0,1771.4,833.4,130.4,47.5
06440,Wetteraukreis,Landkreis,80.4,82.5,78.4,77.0,73.2,72.2,77.1,41.3,35.0,37.8,34.4,33.2,40.5,31.5,37.6,41.8,38.9,34.7,25.1,27.7,23.1,8.3,7.2,10.2,9.3,10.9,9.0,9.0,8.2,8.1,8.9,12.6,17.7,5.7,12.3,0.9,1.3,1.0,4.9,7.5,5.2,6.7,12.3,103.0,114.4,100.1,100.3,26.1,13.6,0.0,0.0,0.0,0.0,3.9,2.0,2229.4,1075.1,43.5,30.3
06531,Gießen,Landkreis,80.9,82.4,78.4,75.8,71.5,71.4,76.0,37.0,33.1,35.6,31.3,30.4,38.0,29.4,38.9,41.6,40.6,36.3,27.4,29.6,23.7,9.9,8.5,10.4,10.9,12.4,10.2,10.2,9.1,8.5,9.1,12.4,15.7,5.0,10.6,1.2,1.7,1.6,5.8,8.8,6.7,8.7,12.1,98.6,98.5,100.8,94.1,37.4,18.9,20.7,15.2,1.6,1.6,397.3,199.4,3072.7,1444.7,445.0,215.8
06532,Lahn-Dill-Kreis,Landkreis,76.8,80.1,75.2,73.3,67.6,67.1,72.5,39.0,34.5,39.1,35.0,35.3,42.2,33.9,42.5,44.1,41.5,37.0,27.6,30.1,24.6,6.1,5.3,7.1,7.2,8.9,7.2,6.8,7.4,6.7,7.5,10.6,14.4,4.4,9.6,0.7,1.2,1.0,5.8,8.5,5.2,6.6,13.9,98.8,95.2,100.1,99.1,29.7,20.7,0.0,0.0,0.0,0.0,0.0,0.0,2843.1,1252.1,76.6,36.9
06533,Limburg-Weilburg,Landkreis,80.6,82.1,77.6,75.5,70.1,69.4,75.1,47.8,42.2,45.8,41.4,38.9,45.6,35.3,36.8,40.2,36.9,33.4,23.9,27.3,22.8,5.8,5.0,6.8,6.6,8.4,6.8,7.0,6.2,6.2,7.1,10.8,16.9,5.1,11.5,0.7,1.0,0.8,4.5,7.2,4.7,6.3,12.7,97.1,84.1,101.6,99.2,22.5,7.5,0.0,0.0,0.0,0.0,0.0,0.0,2487.7,1153.4,46.2,8.4
06534,Marburg-Biedenkopf,Landkreis,81.6,83.6,78.4,76.8,71.9,69.3,76.8,37.0,33.2,35.2,31.9,31.1,36.7,30.1,40.0,43.3,42.3,38.9,28.7,33.4,26.4,10.5,9.2,10.5,10.1,12.7,10.5,9.3,6.9,6.3,7.1,9.4,13.1,4.0,8.7,1.7,1.9,1.9,6.2,9.9,6.8,10.2,11.5,103.9,114.2,100.3,103.6,43.7,27.5,0.0,0.0,0.0,0.0,372.8,236.1,2631.1,1234.6,376.6,183.6
06535,Vogelsbergkreis,Landkreis,80.2,82.9,77.5,75.6,71.1,70.7,74.3,39.6,32.8,37.8,33.2,31.3,40.2,32.1,42.0,44.4,42.0,38.1,27.5,31.0,26.3,6.3,5.5,6.8,6.8,9.4,7.2,6.7,7.3,8.8,9.4,12.3,17.3,5.3,9.7,0.6,1.3,1.1,5.5,9.5,5.4,6.7,14.1,100.4,92.0,101.5,105.6,37.8,25.3,97.9,64.3,7.7,0.0,0.0,0.0,2418.0,998.4,79.5,54.9
06611,"Kassel, Stadt",krsfr. Stadt,78.7,81.3,75.3,73.8,68.0,66.9,72.0,35.3,29.8,29.7,26.3,24.8,29.4,23.6,40.8,44.6,44.4,41.5,28.4,31.5,25.5,12.6,12.1,14.4,14.0,17.2,15.0,13.7,6.8,6.1,6.5,8.0,12.2,4.1,8.9,1.8,2.2,2.2,7.5,12.5,10.4,13.6,9.9,99.0,96.4,99.5,100.4,68.8,45.9,22.8,3.5,3.7,0.0,96.6,51.7,4071.4,1870.5,1204.9,558.1
06631,Fulda,Landkreis,83.3,84.4,80.1,76.6,73.0,71.6,75.8,59.1,49.0,53.6,47.4,44.5,53.9,40.9,25.3,30.5,28.5,27.7,17.7,20.0,16.2,5.9,5.2,6.6,5.9,8.3,6.5,6.7,5.7,6.3,7.2,10.2,17.6,4.7,10.9,0.6,1.2,0.9,4.6,6.9,4.3,5.6,16.2,98.9,99.2,100.1,96.1,42.5,27.8,31.2,10.9,6.5,0.0,0.3,0.1,2391.5,951.3,66.5,38.1
06632,Hersfeld-Rotenburg,Landkreis,82.4,84.7,79.0,77.0,71.5,70.5,74.9,37.5,30.8,34.1,30.8,31.6,37.5,30.0,48.0,51.1,49.3,45.5,34.1,36.4,31.7,5.5,4.8,6.0,6.1,7.4,6.3,5.1,5.4,5.0,6.6,8.5,13.4,3.9,8.8,0.7,1.0,1.1,5.4,8.9,5.4,6.1,14.7,93.3,73.6,98.9,100.2,58.9,30.1,22.8,11.3,0.0,0.0,0.0,0.0,2695.3,1327.8,27.9,14.6
06633,Kassel,Landkreis,84.2,86.6,81.4,79.8,73.8,73.1,77.4,33.1,27.2,29.0,27.1,27.0,33.3,27.8,50.4,55.3,53.0,47.8,36.0,38.7,33.5,7.3,6.2,7.9,8.1,10.6,8.7,7.3,6.2,5.6,6.7,8.5,13.1,3.8,9.0,0.8,1.2,1.0,5.6,9.2,6.0,7.4,11.3,100.2,97.5,102.3,98.2,53.0,38.4,28.1,2.9,7.0,0.0,0.0,0.0,2171.2,996.3,109.5,67.0
06634,Schwalm-Eder-Kreis,Landkreis,83.9,85.7,79.5,78.1,72.6,72.5,76.6,33.9,28.8,31.2,27.5,27.9,34.4,28.1,49.6,52.9,51.0,46.2,35.2,37.7,32.6,6.2,5.4,7.0,7.3,9.2,7.6,6.6,6.9,6.6,7.2,9.7,13.8,4.5,9.0,0.7,1.1,1.1,5.9,9.4,5.5,6.4,12.9,94.9,81.9,100.5,95.1,54.5,21.6,22.5,3.8,2.5,0.0,0.0,0.0,2531.1,1232.3,35.1,17.5
06635,Waldeck-Frankenberg,Landkreis,80.0,82.7,76.5,75.2,69.6,69.0,73.9,40.3,34.2,37.9,33.5,33.2,40.5,33.1,40.8,44.6,42.6,39.6,29.1,31.8,26.6,5.9,5.2,6.9,7.1,9.3,7.8,6.8,9.0,8.5,8.9,11.2,16.5,5.9,10.9,0.6,1.1,1.0,5.2,8.0,5.1,6.7,12.4,95.5,79.9,100.5,99.1,108.5,69.9,36.7,27.7,32.1,0.0,0.1,0.1,2944.4,1222.1,114.8,30.4
06636,Werra-Meißner-Kreis,Landkreis,82.3,84.8,78.3,77.2,71.8,70.8,74.0,35.6,28.4,31.3,28.7,28.7,34.3,28.7,48.8,52.5,50.1,44.9,34.7,37.4,33.6,5.9,5.9,7.3,7.5,8.9,7.8,7.0,6.6,6.6,7.4,9.1,13.1,4.0,8.0,0.8,1.3,1.2,6.5,10.8,6.6,7.4,11.2,93.4,73.1,100.0,99.0,73.2,31.3,197.7,69.3,10.9,0.0,6.8,4.3,2895.5,1259.6,306.4,168.9
07111,"Koblenz, Stadt",krsfr. Stadt,80.2,80.8,76.5,74.8,67.3,69.7,74.5,44.6,40.3,40.4,37.5,34.4,42.8,35.9,39.5,40.2,38.3,34.3,22.9,26.3,22.7,6.3,7.6,9.3,8.9,11.9,9.6,9.9,7.0,7.1,8.8,11.9,17.4,5.7,11.4,0.7,1.2,1.2,5.1,8.5,5.9,8.1,8.4,103.5,108.7,101.0,104.8,88.2,50.4,0.0,0.0,0.0,0.0,20.9,13.9,3373.5,1591.1,279.0,147.3
07131,Ahrweiler,Landkreis,82.2,83.4,80.3,79.2,73.1,74.3,78.5,53.0,48.4,48.6,45.6,41.1,50.1,41.8,29.1,32.5,29.5,28.0,17.9,22.0,20.4,5.7,5.7,7.9,6.6,9.1,6.9,7.2,9.0,8.9,11.0,13.1,20.4,6.4,13.0,0.6,0.8,0.8,4.5,7.3,4.7,5.7,8.8,96.1,94.4,99.8,89.9,34.5,21.8,0.0,0.0,0.0,0.0,0.2,0.1,2215.7,999.0,83.4,31.7
07132,Altenkirchen (Westerwald),Landkreis,82.1,82.5,78.7,76.0,69.2,70.3,74.6,44.9,40.4,42.5,39.4,36.5,45.9,38.8,41.2,43.0,38.4,35.5,24.7,28.9,25.5,5.0,5.1,6.5,5.6,7.7,5.8,5.3,6.5,6.4,9.0,10.6,16.4,4.5,10.0,0.5,0.9,0.8,5.4,9.5,5.4,6.3,10.9,93.1,73.1,99.7,98.5,31.8,24.5,0.0,0.0,0.0,0.0,0.0,0.0,2981.2,1294.1,27.8,8.7
07133,Bad Kreuznach,Landkreis,80.8,82.6,78.2,76.7,70.4,71.1,75.8,39.7,35.6,36.6,34.2,34.1,41.1,34.3,43.2,45.5,41.9,38.4,26.7,31.2,26.8,6.4,6.0,7.9,7.2,9.3,7.0,6.9,7.6,7.3,9.9,11.7,15.9,5.8,10.1,0.6,1.0,1.0,5.2,9.5,5.4,6.6,11.6,97.6,90.5,100.2,98.4,73.5,32.8,29.8,23.5,0.0,0.0,0.0,0.0,2956.1,1358.2,97.5,40.9
07134,Birkenfeld,Landkreis,78.3,79.9,72.7,73.0,65.5,65.8,72.5,38.1,34.6,36.1,32.5,31.2,41.1,33.9,45.5,47.2,43.0,38.8,26.9,31.8,28.7,5.2,4.5,5.9,5.3,6.9,5.0,5.0,7.5,7.0,10.7,12.1,16.8,5.1,9.4,0.6,1.0,1.1,7.5,13.5,6.5,7.4,12.0,94.9,73.7,103.2,97.8,68.2,44.5,116.6,25.0,0.0,0.0,1.8,0.7,3052.9,1319.7,201.8,109.3
07135,Cochem-Zell,Landkreis,83.3,84.6,80.6,78.4,71.7,73.3,77.3,59.7,53.7,54.3,49.3,44.9,55.9,46.9,27.0,30.7,28.4,26.6,18.2,21.0,20.9,4.4,4.2,4.6,4.1,6.2,4.8,4.9,6.6,7.3,9.9,13.2,19.6,5.9,11.0,0.4,0.6,0.6,4.2,6.8,4.1,4.9,8.5,93.4,75.9,99.2,97.7,36.5,22.0,87.0,87.0,0.0,0.0,0.0,0.0,2150.6,977.7,34.5,14.1
07137,Mayen-Koblenz,Landkreis,81.0,82.7,78.0,76.7,68.7,71.2,75.9,47.0,42.6,43.5,40.4,38.8,48.1,40.2,39.2,41.8,37.8,34.9,23.7,26.8,24.2,5.0,5.2,6.9,5.7,8.1,6.3,6.4,6.5,6.4,8.9,11.9,17.7,5.0,10.4,0.4,0.7,0.7,4.5,7.5,4.5,5.7,10.1,98.1,93.2,99.8,98.5,73.0,41.3,0.0,0.0,0.0,0.0,1.1,0.7,2670.4,1174.7,50.7,29.9
07138,Neuwied,Landkreis,81.3,83.1,78.9,77.7,70.8,71.9,75.0,43.7,39.6,41.2,38.1,35.7,45.3,37.7,40.8,42.1,38.6,35.9,25.0,28.3,25.3,5.7,5.8,7.4,6.5,8.6,6.5,6.5,7.1,7.2,9.1,11.6,17.2,4.8,10.2,0.7,1.1,1.0,4.9,8.7,5.1,6.3,10.6,98.6,95.1,99.7,99.2,31.8,16.9,0.0,0.0,0.0,0.0,1.2,0.7,2998.6,1366.3,35.4,17.6
07140,Rhein-Hunsrück-Kreis,Landkreis,82.6,82.3,79.9,77.5,71.1,72.1,77.2,46.2,42.8,43.3,39.4,36.8,46.1,38.7,36.1,38.5,35.9,32.7,22.5,27.1,24.2,6.1,5.7,6.8,6.5,9.1,6.2,6.0,8.8,8.1,10.6,13.7,18.2,6.2,11.0,0.5,0.9,0.9,4.7,8.6,5.0,6.6,9.8,92.1,69.8,99.4,98.7,50.8,29.2,0.0,0.0,0.0,0.0,0.0,0.0,2215.9,924.7,22.3,13.5
07141,Rhein-Lahn-Kreis,Landkreis,82.5,82.8,79.3,76.6,70.4,71.3,76.8,38.4,35.0,36.2,33.8,31.5,40.7,33.3,47.2,46.3,43.4,38.7,28.1,31.3,28.1,5.1,5.7,7.5,7.5,9.7,7.0,6.7,6.5,7.2,9.2,11.7,16.8,4.9,10.2,0.5,1.0,1.0,5.1,8.8,5.3,6.4,10.9,94.8,78.6,102.5,94.0,44.2,21.6,0.0,0.0,0.0,0.0,0.0,0.0,2651.7,1232.8,12.5,5.7
07143,Westerwaldkreis,Landkreis,81.9,83.3,79.5,77.5,71.4,72.7,76.9,46.8,42.0,44.7,40.7,36.8,47.3,39.5,38.8,40.2,36.3,32.3,22.3,26.6,23.5,5.3,5.1,6.2,6.2,8.1,5.9,5.9,6.5,6.8,9.1,12.5,18.9,5.3,11.0,0.5,1.0,0.9,5.0,8.7,5.0,5.8,10.8,94.7,78.9,99.8,98.3,32.6,13.9,0.0,0.0,0.0,0.0,0.0,0.0,2731.3,1194.4,50.1,16.4
07211,"Trier, Stadt",krsfr. Stadt,76.9,77.6,74.0,71.2,67.2,68.4,74.2,41.8,37.3,35.7,32.5,33.2,38.6,32.5,39.6,41.8,39.9,36.6,22.7,26.6,23.8,9.2,10.4,13.0,12.2,15.7,12.8,12.2,6.3,6.2,8.0,10.7,14.7,5.3,9.5,1.0,1.2,1.3,5.7,9.4,7.5,10.9,7.8,101.6,107.6,102.3,95.4,108.6,73.4,0.0,0.0,0.0,0.0,93.5,49.9,3500.4,1604.5,338.0,218.4
07231,Bernkastel-Wittlich,Landkreis,80.0,81.6,77.9,76.7,70.3,71.2,77.1,50.5,44.0,45.1,41.1,39.8,49.7,42.4,33.3,36.4,33.3,30.7,19.7,23.1,21.9,5.7,5.7,7.0,6.0,8.4,6.2,6.1,7.7,8.5,11.2,13.6,18.9,6.4,11.1,0.5,1.0,0.8,5.5,8.8,4.9,6.3,8.4,94.2,77.1,99.9,97.9,38.8,20.9,0.0,0.0,0.0,0.0,0.0,0.0,2498.5,1160.7,59.3,40.2
07232,Eifelkreis Bitburg-Prüm,Landkreis,80.0,81.0,77.9,76.2,69.7,70.6,75.1,50.7,45.8,46.6,43.2,40.6,51.5,43.9,34.6,36.2,33.9,31.0,19.1,22.6,23.2,5.3,5.2,6.5,5.8,9.1,6.5,6.4,7.0,8.3,10.1,12.9,19.1,6.2,10.1,0.4,0.8,0.6,4.3,8.0,4.1,5.5,7.4,96.7,86.0,100.5,98.2,75.6,41.3,0.0,0.0,0.0,0.0,0.0,0.0,1985.1,922.5,17.8,10.4
07233,Vulkaneifel,Landkreis,81.2,82.7,79.6,77.5,70.0,70.3,76.9,56.7,50.7,52.1,46.3,41.3,54.0,45.8,29.5,32.9,30.2,28.4,19.0,21.9,20.7,5.0,4.9,6.0,5.3,7.1,5.1,5.6,6.5,7.1,8.8,12.8,20.2,6.0,10.4,0.4,0.7,0.8,4.5,8.3,4.7,6.3,8.2,92.0,70.5,99.6,97.1,2.9,2.9,0.0,0.0,0.0,0.0,0.0,0.0,2984.9,1398.9,31.2,16.3
