,,Level,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Langname,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Berechnung,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Einheit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Anmerkungen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Quelle,von INKAR,von INKAR,von INKAR,,,,,,,,,,,,,,von INKAR,,,,,,,,von INKAR,,,,,,,,,,,,,,,
,,Standardisierung,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kennziffer,Raumeinheit,Aggregat,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Einwohner 15-64,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,Zivile Erwerbspersonen,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,SV-pflichtig Beschäftigte am Wohnort,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche,Fläche
,,,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018,2011,2012,2013,2014,2015,2016,2017,2018
03251,Diepholz,Landkreis,136054.0000,136113.0000,136474.0000,136474.0000,136887.0000,138829.0000,138811.0000,138947.0000,111357.0000,112066.6667,113913.0435,114478.2609,116636.3636,119372.0930,118880.9524,121538.4615,75625.0000,77860.0000,79146.0000,80715.0000,83123.0000,84504.0000,86337.0000,88296.0000,209745.0000,212124.0000,211605.0000,211987.0000,213582.0000,216521.0000,217183.0000,218594.0000,1988.0600,1988.0600,1988.0600,1988.0600,1988.0600,1988.0600,1988.0600,1988.0600
03252,Hameln-Pyrmont,Landkreis,94078.0000,93623.0000,93015.0000,93015.0000,92777.0000,92852.0000,92190.0000,91784.0000,75646.0000,75937.5000,75682.9268,76025.3165,76876.7123,76985.9155,76308.8235,77500.0000,49983.0000,51445.0000,51616.0000,52418.0000,53207.0000,53718.0000,54582.0000,55617.0000,149513.0000,148983.0000,148040.0000,147745.0000,147595.0000,148654.0000,148312.0000,148414.0000,796.1400,796.1400,796.1400,796.1400,796.1400,796.1400,796.1400,796.1400
03254,Hildesheim,Landkreis,178228.0000,178022.0000,177539.0000,177539.0000,177141.0000,178685.0000,178378.0000,177538.0000,141455.0000,141684.2105,143684.2105,144594.5946,145028.5714,145590.9091,146906.2500,148300.0000,92108.0000,95723.0000,96299.0000,97527.0000,99106.0000,101320.0000,103020.0000,104907.0000,276383.0000,275794.0000,274721.0000,274194.0000,274480.0000,277186.0000,277050.0000,276399.0000,1205.9900,1205.9900,1205.9900,1205.9900,1205.9900,1205.9900,1205.9900,1205.9900
03255,Holzminden,Landkreis,45665.0000,45470.0000,45189.0000,45189.0000,44739.0000,44958.0000,44522.0000,44059.0000,35855.0000,35560.9756,35783.1325,35922.0779,35837.8378,35444.4444,35686.5672,35692.3077,23395.0000,23903.0000,23801.0000,24137.0000,24367.0000,24715.0000,25171.0000,25694.0000,73155.0000,72677.0000,72118.0000,71714.0000,71154.0000,71610.0000,71375.0000,71148.0000,692.5700,692.5700,692.5700,692.5700,692.5700,692.5700,692.5700,692.5700
03256,Nienburg (Weser),Landkreis,78942.0000,78313.0000,78036.0000,78036.0000,77789.0000,78442.0000,78399.0000,78130.0000,62471.0000,63372.8814,63725.8065,64344.2623,65210.5263,66090.9091,66641.5094,67708.3333,42018.0000,43602.0000,43817.0000,44628.0000,45429.0000,46418.0000,47237.0000,47812.0000,121390.0000,122203.0000,121469.0000,121440.0000,121631.0000,122639.0000,123231.0000,122777.0000,1398.9400,1398.9400,1398.9400,1398.9400,1398.9400,1398.9400,1398.9400,1398.9400
03257,Schaumburg,Landkreis,99744.0000,99289.0000,98994.0000,98994.0000,98957.0000,99040.0000,99491.0000,99430.0000,79104.0000,78760.0000,79840.5797,79549.2958,79363.6364,80000.0000,80383.3333,80475.4098,51334.0000,53071.0000,53449.0000,54286.0000,55394.0000,56337.0000,57285.0000,58574.0000,157026.0000,156576.0000,155677.0000,155808.0000,155898.0000,157571.0000,157791.0000,157867.0000,675.5700,675.5700,675.5700,675.5700,675.5700,675.5700,675.5700,675.5700
03351,Celle,Landkreis,112146.0000,112088.0000,111819.0000,111819.0000,111993.0000,112979.0000,112632.0000,112238.0000,86576.0000,87012.9870,88280.0000,88773.3333,90178.0822,90013.8889,90253.5211,91112.9032,56968.0000,59502.0000,59970.0000,61240.0000,62394.0000,63166.0000,64333.0000,65644.0000,176054.0000,175859.0000,175615.0000,175845.0000,176338.0000,178287.0000,178608.0000,178767.0000,1545.2100,1545.2100,1545.2100,1545.2100,1545.2100,1545.2100,1545.2100,1545.2100
03352,Cuxhaven,Landkreis,125093.0000,124823.0000,124016.0000,124016.0000,123756.0000,124206.0000,123668.0000,122554.0000,98135.0000,98655.7377,98919.3548,99557.3770,100065.5738,100982.7586,100981.8182,103076.9231,64136.0000,66216.0000,66507.0000,67534.0000,68693.0000,69654.0000,70959.0000,72360.0000,198115.0000,197780.0000,196875.0000,196872.0000,197029.0000,198944.0000,198459.0000,198143.0000,2057.8000,2057.8000,2057.8000,2057.8000,2057.8000,2057.8000,2057.8000,2057.8000
03353,Harburg,Landkreis,153440.0000,154371.0000,155878.0000,155878.0000,157111.0000,159085.0000,159781.0000,160091.0000,125313.0000,125795.9184,129854.1667,130702.1277,131818.1818,132697.6744,134219.5122,135487.1795,85811.0000,88792.0000,90784.0000,93036.0000,94840.0000,96098.0000,98632.0000,101423.0000,239269.0000,239631.0000,241227.0000,243967.0000,246431.0000,249687.0000,250971.0000,251757.0000,1244.9700,1244.9700,1244.9700,1244.9700,1244.9700,1244.9700,1244.9700,1244.9700
03354,Lüchow-Dannenberg,Landkreis,30227.0000,30126.0000,29891.0000,29891.0000,29788.0000,30796.0000,29669.0000,29155.0000,21375.0000,21607.4766,21990.6542,21939.3939,22235.2941,22325.0000,22530.8642,22426.6667,13759.0000,14367.0000,14402.0000,14691.0000,15258.0000,15583.0000,15676.0000,15956.0000,49082.0000,49074.0000,48911.0000,48720.0000,48615.0000,49165.0000,48460.0000,48403.0000,1220.6900,1220.6900,1220.6900,1220.6900,1220.6900,1220.6900,1220.6900,1220.6900
