Kennziffer,Raumeinheit,Aggregat,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner 15-65,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Einwohner gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbspersonen gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Erwerbstätige gesamt,Fläche
03361,Verden,Landkreis,85781.0000,85887.0000,85875.0000,85957.0000,86634.0000,86997.0000,86931.0000,131936.0000,132129.0000,132459.0000,133215.0000,134645.0000,135842.0000,136590.0000,69716.0000,70154.0000,71536.0000,71434.0000,71780.0000,47485.0000,48437.0000,49471.0000,50332.0000,51142.0000,787.9700
03401,"Delmenhorst, Stadt",krsfr. Stadt,47558.0000,47685.0000,47878.0000,48301.0000,49445.0000,49536.0000,49479.0000,73364.0000,73588.0000,74052.0000,74804.0000,76323.0000,77045.0000,77521.0000,38790.0000,38757.0000,39318.0000,39733.0000,39540.0000,24979.0000,25524.0000,26018.0000,25760.0000,26266.0000,62.3600
03402,"Emden, Stadt",krsfr. Stadt,32661.0000,32754.0000,32813.0000,32934.0000,33461.0000,33150.0000,33061.0000,49848.0000,49751.0000,49790.0000,50016.0000,50694.0000,50486.0000,50607.0000,25152.0000,25566.0000,25944.0000,26209.0000,26448.0000,15651.0000,16222.0000,16823.0000,17070.0000,17731.0000,112.3600
03403,"Oldenburg (Oldenburg), Stadt",krsfr. Stadt,108006.0000,108847.0000,109441.0000,110145.0000,112231.0000,113357.0000,114133.0000,157706.0000,158658.0000,159610.0000,160907.0000,163830.0000,165711.0000,167081.0000,83283.0000,85115.0000,87122.0000,87781.0000,89275.0000,53731.0000,55148.0000,56367.0000,57589.0000,59012.0000,102.9900
03404,"Osnabrück, Stadt",krsfr. Stadt,104410.0000,105663.0000,106595.0000,107048.0000,111827.0000,113080.0000,113191.0000,154513.0000,155625.0000,156315.0000,156897.0000,162403.0000,164070.0000,164374.0000,81636.0000,82430.0000,84692.0000,85946.0000,87544.0000,52938.0000,54890.0000,56181.0000,57657.0000,59355.0000,119.7900
03405,"Wilhelmshaven, Stadt",krsfr. Stadt,48801.0000,48603.0000,47737.0000,47350.0000,47494.0000,47518.0000,47337.0000,76926.0000,76545.0000,75728.0000,75534.0000,75995.0000,76201.0000,76316.0000,37147.0000,37374.0000,37667.0000,37775.0000,37899.0000,22444.0000,22879.0000,23504.0000,23710.0000,24160.0000,106.9100
03451,Ammerland,Landkreis,75920.0000,76315.0000,76482.0000,76813.0000,77401.0000,77897.0000,77962.0000,117951.0000,118489.0000,118865.0000,119917.0000,121435.0000,122698.0000,123377.0000,60718.0000,61307.0000,62511.0000,63324.0000,63941.0000,40906.0000,42096.0000,43228.0000,44169.0000,45149.0000,728.3700
03452,Aurich,Landkreis,120959.0000,121049.0000,121436.0000,121685.0000,122193.0000,122416.0000,121780.0000,186713.0000,186673.0000,187058.0000,187998.0000,189199.0000,190066.0000,189949.0000,92588.0000,93895.0000,96413.0000,97524.0000,98656.0000,59074.0000,60672.0000,62730.0000,64281.0000,66376.0000,1287.3100
03453,Cloppenburg,Landkreis,105977.0000,107322.0000,107697.0000,109455.0000,111037.0000,111515.0000,112865.0000,159290.0000,160033.0000,160176.0000,162350.0000,164734.0000,165930.0000,167925.0000,81895.0000,83054.0000,85456.0000,87711.0000,89061.0000,54875.0000,56984.0000,58804.0000,60470.0000,62660.0000,1418.4100
03454,Emsland,Landkreis,207849.0000,209463.0000,210373.0000,211661.0000,214409.0000,214646.0000,215339.0000,311634.0000,312855.0000,313689.0000,315757.0000,319488.0000,321391.0000,323636.0000,162550.0000,165216.0000,167757.0000,169590.0000,171782.0000,104800.0000,108058.0000,111746.0000,114570.0000,119148.0000,2882.0600
