KRS_15,AMR_12,AMR_20,ROR11,Bundesland_ID,AMR_15,Bund,Ost_West,ROR11_Name,KRS_15_Name,AMR_12_Name,Bundesland_ID_Name,AMR_20_Name,AMR_15_Name
05711,067,054,0503,05,067,1,1,Bielefeld,"Bielefeld, Stadt",Bielefeld,Nordrhein-Westfalen,Paderborn,Bielefeld
05754,068,054,0503,05,068,1,1,Bielefeld,Gütersloh,Gütersloh,Nordrhein-Westfalen,Paderborn,Gütersloh
05758,067,055,0503,05,067,1,1,Bielefeld,Herford,Bielefeld,Nordrhein-Westfalen,Bochum,Bielefeld
05762,044,056,0512,05,044,1,1,Paderborn,Höxter,Höxter,Nordrhein-Westfalen,Dortmund,Höxter
05766,069,054,0503,05,069,1,1,Bielefeld,Lippe,Detmold,Nordrhein-Westfalen,Paderborn,Detmold
05770,070,055,0503,05,070,1,1,Bielefeld,Minden-Lübbecke,Minden,Nordrhein-Westfalen,Bochum,Minden
05774,071,056,0512,05,071,1,1,Paderborn,Paderborn,Paderborn,Nordrhein-Westfalen,Dortmund,Paderborn
05911,072,057,0504,05,072,1,1,Bochum/Hagen,"Bochum, Stadt",Bochum,Nordrhein-Westfalen,Hagen,Bochum
05913,073,058,0506,05,073,1,1,Dortmund,"Dortmund, Stadt",Dortmund,Nordrhein-Westfalen,Hochsauerlandkreis,Dortmund
05914,074,059,0504,05,074,1,1,Bochum/Hagen,"Hagen, Stadt",Hagen,Nordrhein-Westfalen,Märkischer Kreis,Hagen
05915,073,058,0506,05,073,1,1,Dortmund,"Hamm, Stadt",Dortmund,Nordrhein-Westfalen,Hochsauerlandkreis,Dortmund
05916,063,057,0504,05,063,1,1,Bochum/Hagen,"Herne, Stadt",Gelsenkirchen,Nordrhein-Westfalen,Hagen,Gelsenkirchen
05954,053,059,0504,05,053,1,1,Bochum/Hagen,Ennepe-Ruhr-Kreis,Schwelm,Nordrhein-Westfalen,Märkischer Kreis,Schwelm
05958,076,060,0502,05,076,1,1,Arnsberg,Hochsauerlandkreis,Meschede,Nordrhein-Westfalen,Olpe,Meschede
05962,075,061,0504,05,075,1,1,Bochum/Hagen,Märkischer Kreis,Lüdenscheid,Nordrhein-Westfalen,Siegen-Wittgenstein,Lüdenscheid
05966,078,062,0513,05,078,1,1,Siegen,Olpe,Olpe,Nordrhein-Westfalen,Soest,Olpe
05970,077,063,0513,05,077,1,1,Siegen,Siegen-Wittgenstein,Siegen,Nordrhein-Westfalen,Frankfurt am Main,Siegen
05974,079,064,0502,05,079,1,1,Arnsberg,Soest,Soest,Nordrhein-Westfalen,Wiesbaden,Soest
05978,073,058,0506,05,073,1,1,Dortmund,Unna,Dortmund,Nordrhein-Westfalen,Hochsauerlandkreis,Dortmund
06411,094,065,0605,06,094,1,1,Starkenburg,"Darmstadt, Stadt",Darmstadt,Hessen,Odenwaldkreis,Darmstadt
06412,092,065,0604,06,092,1,1,Rhein-Main,"Frankfurt am Main, Stadt",Frankfurt/Main,Hessen,Odenwaldkreis,Frankfurt/Main
06413,092,065,0604,06,092,1,1,Rhein-Main,"Offenbach am Main, Stadt",Frankfurt/Main,Hessen,Odenwaldkreis,Frankfurt/Main
06414,091,066,0604,06,091,1,1,Rhein-Main,"Wiesbaden, Stadt",Wiesbaden,Hessen,Gießen,Wiesbaden
06431,130,067,0605,06,130,1,1,Starkenburg,Bergstraße,Mannheim,Hessen,Limburg-Weilburg,Mannheim
06432,094,065,0605,06,094,1,1,Starkenburg,Darmstadt-Dieburg,Darmstadt,Hessen,Odenwaldkreis,Darmstadt
06433,092,065,0605,06,092,1,1,Starkenburg,Groß-Gerau,Frankfurt/Main,Hessen,Odenwaldkreis,Frankfurt/Main
06434,092,065,0604,06,092,1,1,Rhein-Main,Hochtaunuskreis,Frankfurt/Main,Hessen,Odenwaldkreis,Frankfurt/Main
06435,093,065,0604,06,093,1,1,Rhein-Main,Main-Kinzig-Kreis,Hanau,Hessen,Odenwaldkreis,Hanau
06436,092,065,0604,06,092,1,1,Rhein-Main,Main-Taunus-Kreis,Frankfurt/Main,Hessen,Odenwaldkreis,Frankfurt/Main
06437,095,068,0605,06,095,1,1,Starkenburg,Odenwaldkreis,Erbach,Hessen,Marburg-Biedenkopf,Erbach
06438,092,065,0604,06,092,1,1,Rhein-Main,Offenbach,Frankfurt/Main,Hessen,Odenwaldkreis,Frankfurt/Main
06439,091,066,0604,06,091,1,1,Rhein-Main,Rheingau-Taunus-Kreis,Wiesbaden,Hessen,Gießen,Wiesbaden
06440,092,065,0604,06,092,1,1,Rhein-Main,Wetteraukreis,Frankfurt/Main,Hessen,Odenwaldkreis,Frankfurt/Main
06531,089,069,0601,06,089,1,1,Mittelhessen,Gießen,Gießen,Hessen,Vogelsbergkreis,Gießen
06532,088,069,0601,06,088,1,1,Mittelhessen,Lahn-Dill-Kreis,Wetzlar,Hessen,Vogelsbergkreis,Wetzlar
06533,090,070,0601,06,090,1,1,Mittelhessen,Limburg-Weilburg,Limburg,Hessen,Kassel,Limburg
06534,085,071,0601,06,085,1,1,Mittelhessen,Marburg-Biedenkopf,Marburg,Hessen,Fulda,Marburg
06535,086,072,0601,06,086,1,1,Mittelhessen,Vogelsbergkreis,Lauterbach,Hessen,Hersfeld-Rotenburg,Lauterbach
06611,081,073,0602,06,081,1,1,Nordhessen,"Kassel, Stadt",Kassel,Hessen,Waldeck-Frankenberg,Kassel
06631,087,074,0603,06,087,1,1,Osthessen,Fulda,Fulda,Hessen,Werra-Meißner-Kreis,Fulda
06632,084,075,0603,06,084,1,1,Osthessen,Hersfeld-Rotenburg,Hersfeld,Hessen,Koblenz,Hersfeld
06633,081,073,0602,06,081,1,1,Nordhessen,Kassel,Kassel,Hessen,Waldeck-Frankenberg,Kassel
06634,083,073,0602,06,083,1,1,Nordhessen,Schwalm-Eder-Kreis,Schwalm-Eder,Hessen,Waldeck-Frankenberg,Schwalm-Eder
06635,080,076,0602,06,080,1,1,Nordhessen,Waldeck-Frankenberg,Korbach,Hessen,Ahrweiler,Korbach
06636,082,077,0602,06,082,1,1,Nordhessen,Werra-Meißner-Kreis,Eschwege,Hessen,Altenkirchen (Westerwald),Eschwege
07111,100,078,0701,07,100,1,1,Mittelrhein-Westerwald,"Koblenz, Stadt",Koblenz,Rheinland-Pfalz,Bad Kreuznach,Koblenz
07131,099,079,0701,07,099,1,1,Mittelrhein-Westerwald,Ahrweiler,Ahrweiler,Rheinland-Pfalz,Birkenfeld,Ahrweiler
07132,096,080,0701,07,096,1,1,Mittelrhein-Westerwald,Altenkirchen (Westerwald),Altenkirchen,Rheinland-Pfalz,Cochem-Zell,Altenkirchen
07133,101,091,0702,07,101,1,1,Rheinhessen-Nahe,Bad Kreuznach,Bad Kreuznach,Rheinland-Pfalz,Zweibrücken,Bad Kreuznach
07134,102,081,0702,07,102,1,1,Rheinhessen-Nahe,Birkenfeld,Idar-Oberstein,Rheinland-Pfalz,Neuwied,Idar-Oberstein
07135,103,078,0701,07,103,1,1,Mittelrhein-Westerwald,Cochem-Zell,Cochem,Rheinland-Pfalz,Bad Kreuznach,Cochem
07137,100,078,0701,07,100,1,1,Mittelrhein-Westerwald,Mayen-Koblenz,Koblenz,Rheinland-Pfalz,Bad Kreuznach,Koblenz
07138,098,082,0701,07,098,1,1,Mittelrhein-Westerwald,Neuwied,Neuwied,Rheinland-Pfalz,Rhein-Hunsrück-Kreis,Neuwied
07140,104,083,0701,07,104,1,1,Mittelrhein-Westerwald,Rhein-Hunsrück-Kreis,Simmern,Rheinland-Pfalz,Westerwaldkreis,Simmern
07141,100,078,0701,07,100,1,1,Mittelrhein-Westerwald,Rhein-Lahn-Kreis,Koblenz,Rheinland-Pfalz,Bad Kreuznach,Koblenz
07143,097,084,0701,07,097,1,1,Mittelrhein-Westerwald,Westerwaldkreis,Montabaur,Rheinland-Pfalz,Trier,Montabaur
07211,105,085,0704,07,105,1,1,Trier,"Trier, Stadt",Trier,Rheinland-Pfalz,Bernkastel-Wittlich,Trier
07231,106,086,0704,07,106,1,1,Trier,Bernkastel-Wittlich,Bernkastel-Wittlich,Rheinland-Pfalz,Eifelkreis Bitburg-Prüm,Bernkastel-Wittlich
07232,108,087,0704,07,108,1,1,Trier,Eifelkreis Bitburg-Prüm,Bitburg,Rheinland-Pfalz,Vulkaneifel,Bitburg
07233,107,088,0704,07,107,1,1,Trier,Vulkaneifel,Daun,Rheinland-Pfalz,Kaiserslautern,Daun
07235,105,085,0704,07,105,1,1,Trier,Trier-Saarburg,Trier,Rheinland-Pfalz,Bernkastel-Wittlich,Trier
07311,114,090,0703,07,114,1,1,Rheinpfalz,"Frankenthal (Pfalz), Stadt",Ludwigshafen,Rheinland-Pfalz,Worms,Ludwigshafen
07312,109,089,0705,07,109,1,1,Westpfalz,"Kaiserslautern, Stadt",Kaiserslautern,Rheinland-Pfalz,Pirmasens,Kaiserslautern
07313,110,096,0703,07,110,1,1,Rheinpfalz,"Landau in der Pfalz, Stadt",Landau,Rheinland-Pfalz,Heilbronn,Landau
07314,114,090,0703,07,114,1,1,Rheinpfalz,"Ludwigshafen am Rhein, Stadt",Ludwigshafen,Rheinland-Pfalz,Worms,Ludwigshafen
